" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de resoluciones judiciales "," Falta de adopción de resoluciones judiciales que respeten, protejan y garanticen los derechos económicos, sociales, culturales y ambientales                                  ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de resoluciones judiciales "," Caso específico de no realización de los derechos económicos, sociales, culturales y ambientales en términos de resoluciones judiciales                                       ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de resoluciones judiciales "," Falta de cumplimiento de resoluciones judiciales que respeten, protejan y garanticen los derechos económicos, sociales, culturales y ambientales                              ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de resoluciones judiciales "," Adopción de resoluciones judiciales regresivas en el respeto, protección y garantía de los derechos económicos, sociales, culturales y ambientales                            ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de legislación             "," Caso específico de no realización de los derechos económicos, sociales, culturales y ambientales en términos de legislación                                                   ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de legislación             "," Falta de cumplimiento de la legislación que respete, proteja y garantice los derechos económicos, sociales, culturales y ambientales                                          ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de legislación             "," Adopción de  legislación regresiva en la protección, respeto y garantía de los derechos económicos, sociales, culturales y ambientales                                        ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de legislación             "," Falta de adopción de legislación que respete, proteja y garantice los derechos económicos, sociales, culturales y ambientales                                                 ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de políticas públicas      "," Establecimiento de políticas públicas regresivas en cuanto al respeto, protección y garantía de los derechos económicos, sociales, culturales y ambientales                   ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de políticas públicas      "," Falta de establecimiento de políticas públicas que respeten, protejan y garanticen los derechos económicos, sociales, culturales y ambientales                                ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de políticas públicas      "," Caso específico de no realización de los derechos económicos, sociales, culturales y ambientales en términos de políticas públicas                                            ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales "," Violaciones a los derechos económicos, sociales, culturales y ambientales en términos de políticas públicas      "," Falta de implementación de políticas públicas que respeten, protejan y garanticen los derechos económicos, sociales, culturales y ambientales                                 ",
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de resoluciones judiciales                                                                                                         , Caso específico de no realización del derecho al agua en términos de resoluciones judiciales
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de resoluciones judiciales                                                                                                         ," Falta de cumplimiento de resoluciones judiciales que respeten, protejan y garanticen el derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de resoluciones judiciales                                                                                                         ," Adopción de resoluciones judiciales regresivas en el respeto, protección y garantía del derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de resoluciones judiciales                                                                                                         ," Falta de adopción de resoluciones judiciales que respeten, protejan y garanticen el derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de legislación                                                                                                                     , Caso específico de no realización del derecho al agua en términos de legislación
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de legislación                                                                                                                     ," Falta de cumplimiento de la legislación que respete, proteja y garantice el derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de legislación                                                                                                                     ," Adopción de legislación regresiva en la protección, respeto y garantía del derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de legislación                                                                                                                     ," Falta de adopción de legislación que respete, proteja y garantice el derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de políticas públicas                                                                                                              ," Establecimiento de políticas públicas regresivas en cuanto al respeto, protección y garantía del derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de políticas públicas                                                                                                              , Caso específico de no realización del derecho al agua en términos de políticas públicas
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de políticas públicas                                                                                                              ," Falta de implementación de políticas públicas que respeten, protejan y garanticen el derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho al agua                                                                                   , Violaciones al derecho al agua en términos de políticas públicas                                                                                                              ," Falta de establecimiento de políticas públicas que respeten, protejan y garanticen el derecho al agua"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho a la propiedad                                                                            , Robo                                                                                                                                                                          ,
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho a la propiedad                                                                            , Violaciones al derecho a la propiedad en términos de resoluciones judiciales                                                                                                  , Caso específico de no realización del derecho a la propiedad en términos de resoluciones judiciales
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho a la propiedad                                                                            , Violaciones al derecho a la propiedad en términos de resoluciones judiciales                                                                                                  ," Falta de cumplimiento de resoluciones judiciales que respeten, protejan y garanticen el derecho a la propiedad"
" Violaciones a los derechos económicos, sociales, culturales y ambientales ", Violaciones al derecho a la propiedad                                                                            , Violaciones al derecho a la propiedad en términos de resoluciones judiciales                                                                                                  ," Adopción de resoluciones judiciales regresivas en el respeto, protección y garantía del derecho a la propiedad"
